participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
38,female,20-24,1,4,6,5,6,5,4,5,5,5,4,5,5,3,4,4,5,5,5,5,3,2,3,4,3,2,2,3,2,3,3,3,3,3,3,2,2,3,4,1,3,4,4,2,1,3,2,2,5,5,4,4,5,4,5,5,5,4,4,4,1,1,2,18,19,25,4,19,20,35,16,19,17,31
39,male,20-24,1,6,6,5,6,5,2,6,6,3,5,6,5,5,3,3,6,7,3,3,3,2,2,4,3,2,2,3,3,3,3,3,3,4,3,2,1,4,4,4,2,4,4,2,2,2,2,4,5,5,4,5,5,3,4,4,3,4,5,4,1,1,2,19,16,24,4,21,22,39,16,14,16,35
40,female,20-24,1,6,5,5,5,3,5,6,1,3,3,3,6,2,2,2,6,6,2,3,4,2,2,4,4,2,2,2,2,3,3,2,3,4,3,2,2,2,2,4,3,3,3,4,2,4,1,2,5,5,5,4,4,4,5,5,5,5,6,6,2,1,2,19,18,25,5,19,23,24,16,11,22,32
41,male,25-29,1,5,6,3,7,3,3,5,5,4,2,5,4,6,2,3,5,3,5,3,3,2,4,3,3,3,2,3,3,2,3,3,3,3,2,2,3,4,4,4,4,3,4,4,3,4,3,4,4,5,5,4,4,4,4,4,5,5,5,5,2,0,1,18,16,23,3,21,17,37,13,12,20,44
42,male,20-24,1,4,4,5,7,3,4,6,5,3,4,4,6,4,2,4,6,4,4,5,3,2,3,3,4,2,3,3,3,3,3,3,3,3,3,2,4,3,4,3,4,3,3,3,2,3,2,2,5,5,5,5,5,5,5,5,6,6,6,6,2,1,0,20,20,25,3,21,23,32,16,13,24,36
43,female,20-24,1,6,6,6,5,5,4,6,7,5,1,5,6,5,1,3,5,5,2,5,3,2,3,3,4,2,3,4,2,3,4,3,3,4,3,2,2,4,4,4,4,3,4,2,2,3,2,2,5,5,5,4,5,4,5,4,5,5,5,5,0,1,1,19,18,25,2,23,23,35,14,16,20,36
44,male,20-24,1,5,5,6,7,3,1,7,5,5,1,5,5,5,1,1,6,5,2,1,4,3,4,3,3,3,3,3,4,3,4,2,2,2,3,2,2,5,5,4,5,4,5,3,1,5,3,4,4,5,5,3,4,4,5,4,4,4,4,5,1,1,2,17,17,24,4,24,24,34,8,10,17,46
45,male,30-34,1,3,2,7,1,2,6,7,4,2,2,5,7,5,1,5,7,2,2,2,3,2,2,4,3,2,4,4,2,3,3,3,3,4,2,2,1,2,2,1,4,2,2,1,1,1,1,3,1,2,2,1,5,4,5,3,2,2,2,4,0,0,1,6,17,23,1,23,28,21,16,7,10,21
46,female,20-24,1,6,2,6,2,3,2,6,2,2,3,2,6,2,2,2,7,2,2,2,4,1,4,3,4,2,2,3,2,4,2,4,4,3,4,2,1,3,4,3,2,3,4,2,2,2,1,2,4,5,5,4,5,5,6,5,5,5,5,5,1,0,0,18,21,31,1,17,25,14,13,9,20,29
47,male,20-24,2,5,6,7,5,2,3,5,6,5,2,5,6,5,2,5,6,6,1,2,3,3,3,3,2,4,4,4,4,1,4,1,1,4,4,2,1,1,3,1,2,1,4,1,1,1,1,1,4,4,4,1,3,3,4,5,3,4,3,4,2,3,1,13,15,18,6,29,24,34,15,11,14,18
